Station,Lab,Mean,SD,%Control,t test,Sediment Held,QA Code
16,SAIC,90,9.4,93,,22,A
32,SCCWRP,92,4.5,101,,8,A
32,SAIC,94,5.5,97,,22,A
38,SCCWRP,93,7.6,100,,15,A
115,SAC,92,4.5,95,*,22,A
150,SAIC,93,10.4,96,,22,A
228,SCCWRP,93,5.7,100,,15,A
252,SCCWRP,93,7.6,100,,16,A
365,SCCWRP,91,8.2,100,,8,A
365,SAIC,91,4.2,94,*,22,A
366,SCCWRP,92,6.7,99,,16,A
407,SAIC,94,4.2,97,,22,A
474,SCCWRP,91,12.4,98,,12,A
480,SAIC,95,3.5,100,,26,J
670,SAIC,91,6.5,96,,27,J
682,SAIC,92,4.5,97,,27,J
708,SCCWRP,90,7.9,97,,12,A
753,SCCWRP,88,6.7,95,,13,A
758,SAIC,93,2.7,104,,21,A
814,SCCWRP,88,7.6,97,,10,A
814,SAIC,94,5.5,106,,21,A
815,SAIC,93,4.5,104,,21,A
820,SCCWRP,89,9.6,98,,11,A
846,SAIC,85,7.1,96,,21,A
943,SCCWRP,88,8.7,96,,24,C
960,SAIC,85,0,98,,17,A
993,SCCWRP,89,2.2,98,,24,A
1028,SCCWRP,91,12.4,98,,16,A
1028,SAIC,91,7.4,105,,23,A
1049,SCCWRP,87,10.4,96,,30,A
1049,SAIC,84,8.2,97,,23,A
1072,SCCWRP,87,4.5,96,,23,A
1072,SAIC,93,8.7,106,,16,C
1081,SCCWRP,88,8.4,97,,22,A
1081,SAIC,86,7.4,99,,15,A
1106,SCCWRP,91,8.9,100,,37,E
1108,SAIC,91,4.2,102,,28,A
1109,SCCWRP,88,7.6,97,,17,A
1126,SAIC,87,7.6,98,,28,A
1142,SCCWRP,97,4.5,101,,17,A
1148,SAIC,93,2.7,96,*,31,A
1152,SCCWRP,91,10.2,100,,29,A
1152,SAIC,93,2.7,107,,22,A
1169,SAIC,93,3.5,106,,35,C
1173,SCCWRP,92,4.5,99,,24,A
1173,SAIC,85,7.1,98,,34,C
1175,SAIC,85,0,98,,35,C
1208,SCCWRP,98,2.7,102,,22,A
1267,SCCWRP,84,5.5,90,*,21,A
1267,SAIC,87,2.9,100,,31,c
1306,SCCWRP,96,4.2,100,,22,A
1332,SAIC,85,5,98,,38,CE
1348,SAIC,93,7.6,111,,20,D
1355,SCCWRP,94,4.2,98,,23,A
1401,SCCWRP,98,2.7,102,,23,A
1406,SAIC,88,4.5,105,,19,D
1415,SAIC,90,7.1,103,,40,CE
1417,SCCWRP,95,5,99,,23,A
1417,SAIC,94,6.5,112,,20,D
1418,SCCWRP,92,5.7,96,,22,A
1426,SCCWRP,91,5.5,95,,22,A
1450,SAIC,96,4.2,114,,19,D
1469,SCCWRP,94,2.2,98,,23,A
1551,SCCWRP,98,4.5,102,,18,A
1617,SCCWRP,94,5.5,98,,18,A
1655,SCCWRP,96,4.2,100,,18,A
1655,SAIC,92,5.7,110,,15,D
1734,SCCWRP,96,6.5,103,,15,A
1734,SAIC,90,8.7,103,,22,A
1767,SCCWRP,94,4.2,101,,16,A
1767,SAIC,91,2.2,105,,23,A
1769,SCCWRP,92,9.1,99,,16,A
1770,SCCWRP,96,2.2,103,,16,A
1776,SAIC,94,6.5,108,,23,A
1780,SCCWRP,84,11.9,90,,16,A
1794,SAIC,88,5.7,101,,24,A
1797,SCCWRP,93,8.7,99,,21,C
1825,SCCWRP,97,4.5,104,,22,A
1825,SAIC,90,7.9,103,,29,A
1828,SAIC,96,4.2,110,,29,A
1833,SAIC,95,6.1,109,,31,A
1839,SCCWRP,86,5.5,9.2,*,28,A
1839,SAIC,80,8.2,9.2,,38,CE
1850,SAIC,87,6.7,100,,31,A
1871,SCCWRP,93,5.7,100,,24,A
1874,SAIC,92,2.9,105,,35,CE
1903,SCCWRP,85,5,91,*,25,A