Station,Latitude (north),Longitude (west),Stratum,Depth (m),Region,Survival (%Control),Embryo Develop./Surv. (%Control),Integrated Toxicity Category,Fines (0/0),TOC (%),,
6001,32.5566,-116.8718,Estuary,0.9,Tijuana River Estuary,91,90,2,0,0.11,,
6004,32.5574,-117.1224,Estuary,0.8,Tijuana River Estuary,92,100,2,13.7,0.18,,
6009,32.5592,-117.116,Estuary,0.6,Tijuana River Estuary,90,0,3,9.5,0.38,,
6010,32.5594,-117.1112,Estuary,0.6,Tijuana River Estuary,87,95,2,3,0.06,,
6012,32.5624,-117.1084,Estuary,0.8,Tijuana River Estuary,95,95,1,4,0.35,,
6015,32.6076,-117.1224,Bay,1.8,San Diego Bay,81,90,2,76.7,1.82,,
6017,32.6084,-117.1114,Bay,1.5,San Diego Bay,90,98,2,50.3,0.35,,
6025,32.6235,-117.1337,Marina,3.7,San Diego Bay,89,90,1,57.4,0.9,,
6027,32.6265,-117.1347,Marina,3.5,San Diego Bay,91,97,2,63.4,0.99,,
6031,32.6325,-117.1357,Bay,1.8,San Diego Bay,92,91,1,65.3,1.12,,
6039,32.6469,-117.1196,Bay,12.6,San Diego Bay,95,90,1,61.4,0.68,,
6040,32.6472,-117.1178,Bay,11.2,San Diego Bay,91,79,2,57.4,0.79,,
6041,32.6475,-117.1169,Bay,10.8,San Diego Bay,90,90,2,55.8,0.8,,
6042,32.6475,-117.1213,Port,12.2,San Diego Bay,83,93,2,65,0.54,,
6044,32.6482,-117.1145,Estuary,12.1,San Diego Bay,81,86,3,67.8,1.09,,
6045,32.6483,-117.1161,Estuary,11,San Diego Bay,90,99,2,67.1,1.09,,
6046,32.6488,-117.1139,Estuary,11.8,San Diego Bay,88,85,2,56.8,0.72,,
6047,32.6493,-117.11,Estuary,4.6,San Diego Bay,80,89,2,75.3,1.05,,
6049,32.6489,-117.1128,Estuary,10.8,San Diego Bay,95,85,2,67.7,1.05,,
6052,32.6511,-117.1031,Estuary,2.3,Sweetwater River,61,113,2,71.5,1.29,,
6054,32.6514,-117.1229,Port,11.8,San Diego Bay,86,94,2,72.2,0.89,,
6057,32.6521,-117.1005,Estuary,1.7,Sweetwater River,80,105,2,78.4,1.77,,
6060,32.6537,-117.0949,Estuary,1,Sweetwater River,72,116,2,68.8,1.15,,
6065,32.655,-117.0913,Estuary,1.2,Sweetwater River,71,111,2,60.7,1.12,,
6068,32.6556,-117.1254,Port,9.7,San Diego Bay,91,78,1,75.5,1.12,,
6069,32.6566,-117.0871,Estuary,1.5,Sweetwater River,92,110,1,2.9,0.24,,
6071,32.6583,-117.1442,Bay,5.1,San Diego Bay,73,99,2,78.7,0.99,,
6072,32.6589,-117.1193,Port,5.6,San Diego Bay,89,102,2,61.7,0.71,,
6075,32.6599,-117.1224,Port,6.6,San Diego Bay,92,84,2,48.6,1.16,,
6080,32.6649,-117.1498,Bay,4.6,San Diego Bay,88,99,2,53.2,0.55,,
6083,32.6703,-117.1548,Bay,4.4,San Diego Bay,85,91,2,81.7,0.8,,
6084,32.6704,-117.1365,Bay,4.8,San Diego Bay,94,99,1,31.5,0.22,,
6085,32.671,-117.1238,Port,12.2,San Diego Bay,98,96,1,84.5,1.14,,
6086,32.6712,-117.1306,Port,8,San Diego Bay,86,87,2,83.4,1.14,,
6087,32.6716,-117.1262,Port,12.6,San Diego Bay,96,93,1,67.9,0.84,,
6090,32.6735,-117.1364,Bay,4.5,San Diego Bay,100,93,1,44.7,0.51,,
6093,32.6754,-117.1438,Bay,4.6,San Diego Bay,95,100,1,39.5,0.54,,
6094,32.6754,-117.1288,Port,11.4,San Diego Bay,96,81,2,81.6,1.19,,
6106,32.681,-117.1453,Bay,4.5,San Diego Bay,101,86,2,28,0.21,,
6110,32.6827,-117.1384,Port,12,San Diego Bay,96,65,2,60.5,0.61,,
6113,32.6847,-117.1354,Port,10.5,San Diego Bay,100,D,NA,73.8,1.21,,
6115,32.6853,-117.1365,Port,10,San Diego Bay,95,D,NA,24.4,0.58,,
6116,32.6856,-117.134,Port,10.8,San Diego Bay,94,102,1,80.6,2.03,,
6119,32.6867,-117.1337,Port,10,San Diego Bay,99,96,1,57.6,1.35,,
6120,32.687,-117.1341,Port,8.2,San Diego Bay,95,94,1,73,2.24,,
6125,32.6881,-117.1382,Port,7.9,San Diego Bay,90,94,1,91.6,1.86,,
6127,32.69,-117.14,Port,12.6,San Diego Bay,91,92,2,91.3,2.33,,
6128,32.6914,-117.2382,Port,14.4,San Diego Bay,101,106,1,80.4,1.92,,
6129,32.6916,-117.1529,Port,12.6,San Diego Bay,98,78,2,18,0.13,,
6130,32.6942,-117.2378,Port,12.9,San Diego Bay,94,96,1,65.8,1.24,,
6133,32.6962,-117.153,Port,12.5,San Diego Bay,78,60,3,84,1.7,,
6134,32.6983,-117.1584,Bay,13.7,San Diego Bay,95,84,1,40.4,0.51,,
6136,32.6996,-117.1609,Bay,14.1,San Diego Bay,102,50,2,40.9,0.56,,
6138,32.7015,-117.2266,Bay,10.3,San Diego Bay,86,63,3,50.5,1.23,,
6140,32.7022,-117.1617,Port,9.4,San Diego Bay,93,41,3,80.7,1.33,,
6145,32.7115,-117.2322,Marina,7,San Diego Bay,102,D,NA,88.8,1.82,,
6148,32.7127,-117.2303,Marina,4.8,San Diego Bay,101,D,NA,28.8,0.32,,
6151,32.7143,-117.2297,Marina,4.7,San Diego Bay,101,18,3,51.4,0.6,,
6152,32.7149,-117.1829,Bay,12.3,San Diego Bay,95,80,1,52.3,0.43,,
6153,32.7158,-117.2309,Marina,5.8,San Diego Bay,101,49,2,83.3,1.11,,
6154,32.716,-117.1748,Port,9.9,San Diego Bay,102,89,1,64.6,1.32,,
6155,32.7159,-117.1759,Port,10.9,San Diego Bay,98,83,1,51.6,0.47,,
6156,32.7164,-117.1966,Port,11.8,San Diego Bay,93,107,1,44.8,0.7,,
6157,32.7168,-117.2248,Marina,3.6,San Diego Bay,100,57,2,90.5,1.59,,
6159,32.7184,-117.2306,Marina,3.3,San Diego Bay,104,57,2,69.2,0.97,,
6161,32.7183,-117.2259,Marina,5,San Diego Bay,101,53,2,90.6,1.42,,
6165,32.7217,-117.2216,Marina,4.6,San Diego Bay,102,D,NA,33.8,0.38,,
6168,32.7239,-117.1756,Marina,6.5,San Diego Bay,84,93,2,79.4,1.13,,
6171,32.7244,-117.2249,Marina,4.7,San Diego Bay,97,D,NA,76.5,1.43,,
6172,32.7242,-117.1827,Bay,4.7,San Diego Bay,92,52,2,44.7,1.38,,
6173,32.7249,-117.1835,Marina,4.7,San Diego Bay,100,58,2,,0.27,,
6174,32.7263,-117.1767,Marina,5.7,San Diego Bay,96,100,1,61.3,0.92,,
6177,32.7271,-117.2022,Marina,3.8,San Diego Bay,96,49,2,74.5,1.23,,
6179,32.7281,-117.2084,Marina,2.5,San Diego Bay,104,D,NA,51.9,0.49,,
6180,32.7284,-117.2019,Marina,2.5,San Diego Bay,103,84,1,53.9,0.58,,
6181,32.7568,-117.235,Estuary,1.1,San Diego River,89,96,1,67.7,2.49,,
6189,32.7577,-117.242,Estuary,0.3,San Diego River,103,6,3,19,0.08,,
6192,32.7579,-117.2269,Estuary,0.5,San Diego River,100,101,1,60.7,1.3,,
6197,32.7601,-117.2207,Estuary,0.5,San Diego River,97,88,2,33.9,0.23,,
6200,32.7605,-117.2101,Estuary,1.7,San Diego River,98,107,1,56.4,0.45,,
6204,32.7625,-117.2362,Marina,6.5,Mission Bay,102,101,1,66.7,1.27,,
6211,32.7675,-117.2354,Marina,2.6,Mission Bay,100,105,1,65.9,1.79,,
6212,32.7678,-117.2413,Bay,6.2,Mission Bay,101,92,1,8.4,0.08,,
6213,32.7683,-117.2472,Marina,5.3,Mission Bay,102,94,1,52.2,1,,
6216,32.7808,-117.2493,Marina,3.8,Mission Bay,96,101,1,61.8,1,,
6217,32.7844,-117.2153,Bay,3.6,Mission Bay,101,103,1,89.6,2.62,,
6219,32.7874,-117.2092,Bay,2.9,Mission Bay,99,108,1,79.1,2.24,,
6223,32.7943,-117.2204,Bay,1.5,Mission Bay,95,105,1,66.9,3.33,,
6228,32.9304,-117.2486,Estuary,0.5,Los Penasquitos,71,119,2,74.9,0.62,,
6229,32.9316,-117.251,Estuary,1.5,Los Penasquitos,93,109,2,81.1,1.18,,
6230,32.9321,-117.2534,Estuary,0.4,Los Penasquitos,100,122,1,79.1,1.51,,
6232,32.9328,-117.2579,Estuary,0.6,Los Penasquitos,95,120,1,3.3,0.04,,
6236,32.9338,-117.2568,Estuary,1.4,Los Penasquitos,97,123,1,46.1,1.13,,
6239,33.008,-117.2706,Estuary,0.4,San Elijo Lagoon,94,106,1,18,0.26,,
6242,33.0106,-117.2636,Estuary,2.4,San Elijo Lagoon,99,4,3,80.7,2.86,,
6243,33.0113,-117.2732,Estuary,0.7,San Elijo Lagoon,82,109,2,24,0.58,,
6244,33.0141,-117.2797,Estuary,1,San Elijo Lagoon,95,99,1,1,0.14,,
6245,33.0143,-117.2769,Estuary,2.3,San Elijo Lagoon,85,101,2,7.1,0.14,,
6250,33.0878,-117.2929,Estuary,0.6,Batiquitos Lagoon,95,D,NA,70.5,0.32,,
6251,33.0881,-117.3105,Estuary,1.7,Batiquitos Lagoon,100,D,NA,0.1,0.03,,
6252,33.0885,-117.2726,Estuary,1.5,Batiquitos Lagoon,90,D,NA,95.5,1.69,,
6253,33.0885,-117.305,Estuary,1.6,Batiquitos Lagoon,97,D,NA,29.2,0.43,,
6264,33.0906,-117.2872,Estuary,0.5,Batiquitos Lagoon,63,D,NA,92.8,1.11,,
6269,33.1392,-117.3377,Estuary,6.7,Agua Hedionda Lagoon,90,98,1,48.5,0.52,,
6270,33.1396,-117.3186,Estuary,0.6,Agua Hedionda Lagoon,100,98,1,38.6,0.64,,
6271,33.1402,-117.3251,Estuary,2.4,Agua Hedionda Lagoon,66,105,2,85.6,1.01,,
6280,33.1446,-117.3281,Estuary,2.7,Agua Hedionda Lagoon,88,108,2,49.3,0.57,,
6282,33.1447,-117.3356,Estuary,2.4,Agua Hedionda Lagoon,95,99,1,20.7,0.61,,
6288,33.2049,-117.3907,Marina,4.5,Oceanside Harbor,88,93,2,78.5,1.45,,
6291,33.2069,-117.3936,Marina,6,Oceanside Harbor,102,91,1,78,1.5,,
6294,33.2078,-117.3973,Marina,7.9,Oceanside Harbor,100,98,1,55.5,0.61,,
6303,33.2323,-117.4132,Estuary,0.6,Santa Margarita,105,82,1,0,0.01,,
6308,33.2334,-117.4115,Estuary,0.8,Santa Margarita,105,89,1,44,1.06,,
6311,33.2344,-117.409,Estuary,0.9,Santa Margarita,103,88,1,48.9,1.26,,
6314,33.2354,-117.4075,Estuary,1.1,Santa Margarita,101,83,1,5.9,0.04,,
6317,33.2356,-117.4057,Estuary,0.9,Santa Margarita,99,85,1,3.4,0.02,,
6320,33.4588,-117.6972,Marina,3,Dana Point Harbor,95,127,1,97.7,1.95,,
6325,33.4606,-117.7059,Marina,5.6,Dana Point Harbor,98,107,1,63.5,0.67,,
6327,33.4613,-117.7021,Marina,3.7,Dana Point Harbor,95,3,3,74.7,1.45,,
6328,33.4619,-117.7027,Marina,3.1,Dana Point Harbor,92,116,2,77.8,1.41,,
6335,33.603,-117.8965,Marina,3.9,Newport Bay,97,90,1,74,0.42,,
6343,33.6099,-117.9051,Marina,3.8,Newport Bay,98,95,1,80.2,1.43,,
6344,33.61,-117.9244,Marina,3.1,Newport Bay,69,74,3,99.8,1.94,,
6350,33.6191,-117.927,Marina,5.8,Newport Bay,83,70,3,99.2,2.21,,
6354,33.6329,-117.8881,Estuary,3,Upper Newport Bay,88,107,1,59.6,0.58,,
6355,33.6366,-117.9538,Estuary,1.2,Santa Ana River,99,109,1,74,0.96,,
6362,33.6457,-117.8888,Estuary,3.9,Upper Newport Bay,72,102,2,96.2,1.47,,
6363,33.6468,-117.8841,Estuary,3,Upper Newport Bay,83,112,2,82.1,1.1,,
6372,33.6872,-118.0339,Estuary,1.1,Bolsa Chica,95,92,1,9.9,0.22,,
6375,33.6913,-118.0415,Estuary,0.8,Bolsa Chica,87,95,1,68.8,1.5,,
6382,33.7037,-118.0496,Estuary,1.2,Bolsa Chica,91,8,3,81.3,5.27,,
6383,33.7073,-118.269,Bay,4,Los Angeles/Long,84,74,2,35.2,0.09,,
6384,33.709,-118.2618,Bay,5,Los Angeles/Long,94,103,1,70.1,0.44,,
6386,33.7122,-118.2583,Bay,16,Los Angeles/Long,76,97,2,82.4,1.29,,
6387,33.7135,-118.2418,Bay,23,Los Angeles/Long,78,92,2,82,1.3,,
6402,33.7241,-118.2623,Port,26,Los Angeles/Long,59,95,2,90.4,1.34,,
6404,33.7245,-118.224,Bay,17,Los Angeles/Long,86,91,2,85,0.96,,
6405,33.7266,-118.2326,Port,13,Los Angeles/Long,86,74,3,76,1.13,,
6406,33.7276,-118.0792,Marina,4,Huntington Harbor,99,96,1,18,0.33,,
6407,33.7275,-118.1579,Bay,15,Los Angeles/Long,87,83,2,91.2,1.69,,
6411,33.7284,-118.1572,Bay,17,Los Angeles/Long,77,83,2,86.3,1.56,,
6413,33.7291,-118.2341,Port,12,Los Angeles/Long,95,96,1,72.3,0.89,,
6416,33.7313,-118.2237,Bay,12,Los Angeles/Long,96,97,1,56.3,0.26,,
6419,33.731,-118.1918,Port,15,Los Angeles/Long,96,94,1,57.7,0.78,,
6424,33.7327,-118.2532,Port,17,Los Angeles/Long,85,102,2,68.9,0.92,,
6428,33.7345,-118.2316,Port,11,Los Angeles/Long,104,110,1,53.1,0.53,,
6432,33.7358,-118.18,Bay,17,Los Angeles/Long,92,81,1,61.8,0.45,,
6436,33.7394,-118.1346,Bay,8,Los Angeles/Long,94,90,1,71,0.64,,
6437,33.7397,-118.1718,Bay,14,Los Angeles/Long,88,83,2,90.5,1.52,,
6438,33.7402,-118.0843,Estuary,1.8,Seal Beach,95,97,1,59.8,0.87,,
6442,33.742,-118.1174,Estuary,4,San Gabriel River,87,6,3,24,1,,
6443,33.7417,-118.2054,Port,20,Los Angeles/Long,94,105,1,69.6,0.33,,
6444,33.7421,-118.153,Bay,11,Los Angeles/Long,85,88,2,91.7,1.34,,
6446,33.7431,-118.2048,Port,18,Los Angeles/Long,95,107,1,84.8,1.08,,
6447,33.7433,-118.165,Bay,12,Los Angeles/Long,91,89,2,95,1.76,,
6448,33.7445,-118.1691,Bay,13,Los Angeles/Long,83,71,3,89.3,1.18,,
6449,33.745,-118.2384,Port,10,Los Angeles/Long,95,108,1,74.4,0.72,,
6450,33.7457,-118.2156,Port,18,Los Angeles/Long,94,98,1,58.2,0.36,,
6451,33.7458,-118.0826,Estuary,0.4,Seal Beach,93,101,1,87.8,2.56,,
6460,33.7501,-118.2249,Port,16,Los Angeles/Long,96,99,1,34,0.32,,
6462,33.751,-118.1761,Bay,11,Los Angeles/Long,88,76,3,72.4,1.75,,
6466,33.7526,-118.2179,Port,23,Los Angeles/Long,92,111,1,81.1,1.09,,
6467,33.7531,-118.2237,Port,15,Los Angeles/Long,91,92,1,82.7,1.28,,
6468,33.753,-118.1051,Estuary,3.4,San Gabriel River,97,72,2,42.8,0.65,,
6472,33.7554,-118.1299,Marina,5,Alamitos Bay,87,54,3,93.4,2.02,,
6478,33.7596,-118.1624,Bay,6,Los Angeles/Long,96,91,1,57.7,0.34,,
6479,33.7605,-118.1217,Marina,4,Alamitos Bay,81,27,4,88.5,2.06,,
6482,33.7633,-118.251,Marina,14,Los Angeles/Long,92,100,1,86.7,1.42,,
6485,33.7658,-118.1036,Estuary,3.5,Los Alamitos Estuary,83,44,3,59.6,2.04,,
6487,33.766,-118.2775,Port,17,Los Angeles/Long,95,99,1,82,1.09,,
6489,33.7667,-118.2485,Marina,4,Los Angeles/Long,82,103,2,88.8,3.71,,
6493,33.7692,-118.2171,Port,15,Los Angeles/Long,92,99,1,79,1.12,,
6500,33.7806,-118.2058,Estuary,2.8,Los Angeles River,72,86,2,41.8,1.38,,
6508,33.9628,-118.4542,Estuary,3.3,Ballona Creek,96,93,1,48.3,5.07,,
6513,33.9647,-118.4533,Marina,7,Marina del Rey,97,99,1,67.6,3.07,,
6518,33.9702,-118.448,Marina,6.8,Marina del Rey,89,99,2,82.8,2.16,,
6520,33.9713,-118.4396,Estuary,2.3,Ballona Creek,3,0,4,58.3,0.09,,
6527,33.9805,-118.4422,Marina,4.4,Marina del Rey,21,95,3,99.5,1.55,,
6530,33.9831,-118.4507,Marina,3.8,Marina del Rey,96,101,1,99.2,1.42,,
6539,34.104,-119.1124,Estuary,0.5,Mugu Lagoon-south,96,64,2,91.1,1.46,,
6543,34.1142,-119.0937,Estuary,1.2,Mugu Lagoon-south,59,0,4,64.2,5.23,,
6546,34.1529,-119.2098,Port,8.4,Port Hueneme,90,90,1,75.4,1.35,,
6549,34.1712,-119.2235,Marina,4.2,Oxnard/Channel 1 .,98,88,1,90.7,2.47,,
6553,34.1846,-119.2309,Estuary,3.8,Channel Islands Harbor,94,82,2,92.4,2.16,,
6560,34.2487,-119.2641,Marina,4.2,Ventura Harbor,91,89,2,98.7,1,,
6562,34.4218,-119.8294,Estuary,1.8,Goleta Slough,99,79,2,61.9,2.08,,
6570,32.6581,-117.1224,Port,11.6,San Diego Bay,93,94,1,82.9,1.39,,
6572,32.6689,-117.1287,Port,8,San Diego Bay,93,69,2,88.1,1.43,,
6649,33.9777,-118.4527,Marina,3,Marina del Rey,94,116,1,85.9,1.21,,
6659,32.6478,-117.1203,Port,6.5,San Diego Bay,88,89,2,46.2,0.79,,
6660,32.6561,-117.1225,Port,13.3,San Diego Bay,93,93,1,64.5,0.74,,
6661,32.6576,-117.1228,Port,12,San Diego Bay,69,69,3,72.2,0.89,,
7002,32.551,-117.1991,Shelf,35,South San Diego Shelf,90,NS,NA,29.4,0.28,,
7008,32.5863,-117.3412,Shelf,181,South San Diego Shelf,95,NS,NA,64.4,2.21,,
7009,32.5891,-117.2634,Shelf,57,South San Diego Shelf,90,NS,NA,44.4,0.71,,
7122,33.0881,-117.3509,Shelf,73.2,North San Diego Shelf,93,NS,NA,63.2,0.65,,
7158,33.2207,-117.5121,Shelf,192.9,North San Diego Shelf,95,NS,NA,70.5,1.49,,
7166,33.265,-117.5336,Shelf,63,North San Diego Shelf,94,NS,NA,68.1,0.88,,
7208,33.4642,-117.7622,Shelf,161,Orange Shelf,89,NS,NA,67.2,0.95,,
7231,33.5213,-117.7696,Shelf,14.6,Orange Shelf,98,NS,NA,7.9,0.28,,
7269,33.6024,-118.0566,Shelf,38,San Pedro Shelf,96,NS,NA,24.6,0.21,,
7287,33.621,-118.1951,Shelf,42,San Pedro Shelf,98,NS,NA,17.3,0.41,,
7293,33.6271,-117.9871,Shelf,13,San Pedro Shelf,102,NS,NA,23.9,0.34,,
7300,33.6431,-118.0781,Shelf,27,San Pedro Shelf,99,NS,NA,27.3,0.24,,
7301,33.648,-118.1493,Shelf,31,San Pedro Shelf,100,NS,NA,20.5,0.5,,
7321,33.6954,-118.296,Shelf,28,Palos Verdes Shelf,91,NS,NA,31,4.25,,
7395,33.7667,-118.4604,Shelf,133,Santa Monica Bay,93,NS,NA,59.1,3.03,,
7417,33.861,-118.4475,Shelf,59,Santa Monica Bay,103,NS,NA,32.1,0.76,,
7461,33.9436,-118.5195,Shelf,49,Santa Monica Bay,98,NS,NA,58.7,0.65,,
7517,34.0237,-118.5931,Shelf,24,Santa Monica Bay,97,NS,NA,69.6,0.82,,
7528,34.0443,-119.0552,Shelf,203,Hueneme to Dume,89,NS,NA,79.6,1.11,,
7542,34.0664,-119.1341,Shelf,174,Hueneme to Dume,99,NS,NA,64.9,1.16,,
7596,34.1251,-119.1925,Shelf,15,Hueneme to Dume,99,NS,NA,2.6,0.09,,
7629,34.1784,-119.3471,Shelf,25.9,E. Santa Barbara,94,NS,NA,68.8,0.64,,
7652,34.2301,-119.6874,Shelf,139,E. Santa Barbara,100,NS,NA,41.4,2.71,,
7654,34.2326,-119.7068,Shelf,158.2,E. Santa Barbara,101,NS,NA,40.2,0.88,,
7681,34.2841,-119.3546,Shelf,20.7,E. Santa Barbara,97,NS,NA,35.2,0.36,,
7696,34.3078,-119.7128,Shelf,139.9,E. Santa Barbara,100,NS,NA,79.3,1.22,,
7727,34.3946,-120.3315,Shelf,185.9,W. Santa Barbara,98,NS,NA,54.1,0.32,,
7728,34.3956,-119.6622,Shelf,25.9,E. Santa Barbara,93,NS,NA,40.8,0.53,,
7735,34.3983,-119.8643,Shelf,28.3,E. Santa Barbara,96,NS,NA,25.9,0.75,,
7741,34.401,-119.8328,Shelf,29.9,E. Santa Barbara,101,NS,NA,35,1.13,,
